Geo Point,UBIGEO
"-7.11798066546, -79.1609783769",61110
"-6.93048338399, -79.8157880727",140103
"-6.88074604367, -79.9042597548",140114
"-10.7564012939, -76.9866870323",150903
"-10.4864496507, -77.7421659301",150202
"-10.8096115426, -77.5623061372",150204
"-10.7852466114, -77.7256801903",150205
"-10.3099490535, -77.1597589323",20502
"-10.3013918881, -77.5855342168",20507
"-10.3609279446, -77.1047459518",20512
"-9.47135875601, -77.4847154667",20105
"-9.11603713332, -77.1129242201",20305
"-8.54891506345, -77.929033096",20901
"-15.5913243168, -71.6412266887",40506
"-15.7962503592, -72.1604833177",40507
"-15.4799475721, -71.7604455286",40510
"-15.2763158225, -72.8614598463",40801
"-15.2132677682, -72.7853030622",40810
"-16.5441753088, -71.4432130304",40115
"-16.193846032, -71.0971199",40119
"-16.2676895288, -72.0632250939",40120
"-16.4736420062, -71.5346798289",40122
"-16.596490256, -72.7366062121",40202
"-16.0782627213, -73.136117902",40203
"-16.4556299046, -72.8322579869",40204
"-16.2779873205, -73.0109214809",40206
"-15.3416747755, -74.5582430803",40302
"-13.5316820555, -71.9506764361",80108
"-16.4200501582, -71.4779818812",40112
"-16.8763346172, -72.1022326181",40704
"-12.7845330196, -74.0931800693",50410
"-13.3019398974, -73.2089779468",80911
"-13.0543891214, -73.3397647189",80912
"-13.5186387979, -73.7481770688",30601
"-5.19688581072, -79.4973311446",200301
"-5.36770193377, -80.0828694769",200404
"-5.47051242321, -80.3651408038",200105
"-5.08199084822, -80.6585271695",200101
"-4.94645251814, -79.6502829642",200206
"-4.92729884507, -79.9710172636",200202
"-4.82673352891, -80.8856464479",200603
"-4.78073989716, -79.8538700512",200204
"-4.69212944641, -80.2278380101",200111
"-4.68662618195, -79.606479703",200201
"-4.46136687818, -80.0627251906",200210
"-4.49884875871, -81.0435295353",200701
"-4.40301716545, -81.2024249231",200704
"-4.14781563063, -81.0089600105",200706
"-12.783518718, -74.1915595018",50412
"-9.20771972159, -76.0384950685",100608
"-12.4182303928, -72.9831244983",80902
"-11.0837038326, -72.81384006",250202
"-9.08225438424, -76.0014430405",100609
"-15.8221409632, -71.6958446113",40502
"-16.37562733, -71.3586143302",40106
"-16.5884396711, -71.7957995387",40108
"-17.1098490612, -69.7020166798",210502
"-16.9312611565, -69.4476951421",210405
"-16.3253834983, -68.8788268261",211302
"-16.3287179286, -69.5029258536",210401
"-15.3559802739, -70.4109031136",210701
"-15.3080956351, -69.9275348302",210607
"-15.2698483567, -70.0168514236",210210
"-15.9050030282, -70.0636770662",210101
"-15.7262883895, -70.067145784",210110
"-15.7802167477, -70.2631558049",210115
"-15.7047582248, -69.7004329027",210103
"-15.8533685267, -70.6224572272",211103
"-15.4916782872, -69.3420774972",210904
"-15.5693757772, -70.3900899747",210702
"-15.4599001974, -70.2154501546",211101
"-15.090043996, -70.0846096368",210203
"-15.1829175236, -70.8501051639",210705
"-14.8469681789, -69.6393112763",211004
"-14.9315548368, -70.6057581462",210801
"-14.6857660871, -69.9802696999",210208
"-14.6862784618, -70.487636518",210807
"-14.3101068923, -69.6312350981",211204
"-14.3567967254, -70.6705866666",210806
"-14.2919313914, -69.4369604809",211201
"-14.4672734928, -69.3561899176",211206
"-14.1740361519, -70.2268919052",210302
"-14.0319794975, -69.334418669",211209
"-13.741614339, -70.54126219",210308
"-8.13851485794, -77.7988539285",21509
"-8.56845666805, -78.1384429315",21510
"-8.61275749051, -77.3953187276",21603
"-9.36276526526, -76.8357109607",100510
"-9.19038194766, -76.1042733903",100601
"-9.54691885854, -76.4235137821",100311
"-9.51519574367, -76.6684109766",100504
"-9.3604322532, -75.7753868443",100602
"-9.13740978415, -76.7337554887",100502
"-10.1501387637, -76.1411773301",100201
"-10.2152133697, -76.3706018486",100202
"-9.00129838888, -74.8663900684",100904
"-10.9402818498, -75.075958845",120302
"-11.0250297722, -74.868765061",120303
"-10.8432802591, -75.2727668878",120304
"-11.0508092538, -76.918539985",150807
"-12.4725733092, -75.9551074955",151001
"-12.2887826329, -75.7039648602",151002
"-9.51815087197, -78.2231984269",20801
"-9.37298777075, -78.1427106762",20802
"-10.4747239314, -77.5688713743",21409
"-9.93755528447, -77.5409313971",21703
"-9.09348643822, -77.6664012208",22001
"-9.3161270449, -77.8327131911",22002
"-9.57632620886, -77.8216400863",20103
"-9.0112057149, -77.1695737325",20702
"-8.76195032769, -77.741144764",21210
"-8.82313856981, -77.3876641067",21302
"-8.90957089437, -77.2901406786",21305
"-8.34272664532, -78.0699624959",21502
"-9.32314031981, -77.2328958883",21001
"-9.65543196246, -77.2117245847",21004
"-9.30853980698, -76.9296321835",21005
"-9.18856287373, -76.8089206651",21006
"-9.42639030901, -77.0781525583",21007
"-10.3193726513, -77.4240816864",21406
"-8.30283665107, -77.9923662825",21504
"-8.26580345178, -77.9055317484",21506
"-8.70232582028, -77.343694411",21604
"-8.96100149899, -78.0764149157",21802
"-8.77654658859, -78.1219901663",21804
"-8.54029117878, -77.6154348851",21901
"-8.58781106314, -77.6532052907",21904
"-8.36287610009, -77.6459836403",21905
"-8.39597930037, -77.5097555254",21907
"-10.5216919084, -77.1089326193",150304
"-10.6123677011, -77.2208086332",150305
